,Unnamed: 0,County,FIPS,Births,year,Population,GEOID
0,0,"Baldwin County, AL",1003,2157.0,2011,207787,01
1,1,"Calhoun County, AL",1015,1418.0,2011,115036,01
2,2,"Etowah County, AL",1055,1173.0,2011,102931,01
3,3,"Jefferson County, AL",1073,8916.0,2011,660507,01
4,4,"Lee County, AL",1081,1536.0,2011,159446,01
5,5,"Madison County, AL",1089,4150.0,2011,356985,01
6,6,"Mobile County, AL",1097,5623.0,2011,415169,01
7,7,"Montgomery County, AL",1101,3166.0,2011,227398,01
8,8,"Morgan County, AL",1103,1461.0,2011,119090,01
9,9,"Shelby County, AL",1117,2424.0,2011,211538,01
10,10,"Tuscaloosa County, AL",1125,2361.0,2011,206737,01
11,11,"Anchorage Borough, AK",2020,4792.0,2011,298072,02
12,12,"Cochise County, AZ",4003,1668.0,2011,125885,04
13,13,"Coconino County, AZ",4005,1777.0,2011,140609,04
14,14,"Maricopa County, AZ",4013,53467.0,2011,4258019,04
15,15,"Mohave County, AZ",4015,2046.0,2011,205899,04
16,16,"Pima County, AZ",4019,11893.0,2011,1017083,04
17,17,"Pinal County, AZ",4021,4611.0,2011,417312,04
18,18,"Yavapai County, AZ",4025,1835.0,2011,224828,04
19,19,"Yuma County, AZ",4027,3208.0,2011,207162,04
20,20,"Benton County, AR",5007,3340.0,2011,259497,05
21,21,"Pulaski County, AR",5119,5759.0,2011,394322,05
22,22,"Sebastian County, AR",5131,1799.0,2011,127578,05
23,23,"Washington County, AR",5143,3261.0,2011,228612,05
24,24,"Alameda County, CA",6001,19003.0,2011,1650765,06
25,25,"Butte County, CA",6007,2391.0,2011,226222,06
26,26,"Contra Costa County, CA",6013,12060.0,2011,1137259,06
27,27,"El Dorado County, CA",6017,1630.0,2011,186027,06
28,28,"Fresno County, CA",6019,16160.0,2011,976231,06
29,29,"Humboldt County, CA",6023,1448.0,2011,136477,06
30,30,"Imperial County, CA",6025,3079.0,2011,179881,06
31,31,"Kern County, CA",6029,14287.0,2011,881094,06
32,32,"Kings County, CA",6031,2567.0,2011,149269,06
33,33,"Los Angeles County, CA",6037,130370.0,2011,10094865,06
34,34,"Madera County, CA",6039,2401.0,2011,153694,06
35,35,"Marin County, CA",6041,2386.0,2011,260722,06
36,36,"Merced County, CA",6047,4280.0,2011,267370,06
37,37,"Monterey County, CA",6053,6812.0,2011,433436,06
38,38,"Napa County, CA",6055,1572.0,2011,140778,06
39,39,"Orange County, CA",6059,38101.0,2011,3164277,06
40,40,"Placer County, CA",6061,3834.0,2011,379046,06
41,41,"Riverside County, CA",6065,30611.0,2011,2378282,06
42,42,"Sacramento County, CA",6067,20002.0,2011,1511401,06
43,43,"San Bernardino County, CA",6071,30566.0,2011,2130726,06
44,44,"San Diego County, CA",6073,43643.0,2011,3305462,06
45,45,"San Francisco County, CA",6075,8813.0,2011,871343,06
46,46,"San Joaquin County, CA",6077,10329.0,2011,732662,06
47,47,"San Luis Obispo County, CA",6079,2631.0,2011,281884,06
48,48,"San Mateo County, CA",6081,9048.0,2011,767928,06
49,49,"Santa Barbara County, CA",6083,5804.0,2011,444112,06
50,50,"Santa Clara County, CA",6085,23649.0,2011,1928144,06
51,51,"Santa Cruz County, CA",6087,3233.0,2011,274476,06
52,52,"Shasta County, CA",6089,2022.0,2011,178592,06
53,53,"Solano County, CA",6095,5160.0,2011,438834,06
54,54,"Sonoma County, CA",6097,5150.0,2011,502445,06
55,55,"Stanislaus County, CA",6099,7738.0,2011,538986,06
56,56,"Tulare County, CA",6107,7966.0,2011,458991,06
57,57,"Ventura County, CA",6111,10656.0,2011,846921,06
58,58,"Yolo County, CA",6113,2341.0,2011,215569,06
59,59,"Adams County, CO",8001,6722.0,2011,497735,08
60,60,"Arapahoe County, CO",8005,7368.0,2011,639605,08
